Содержание,Сервис,Приоритет,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение             ,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Критичность,Влияние,Система,Место,range_time,time_to_solve,koef,numeric_sod,numeric_ans,proba_ans
Настройка ЭП в Сервис22,Сервис22,0,1,24,2018-01-31 07:51:00,2018-01-26 03:51:00,0,0,Права предоставлены.,0,2018-01-26 13:16,2018-01-26 17:03:00,3,0,22,21,13.2,124.0,0,510,1094,0.0
Настройка ЭП в Сервис22,Сервис22,0,1,24,2018-01-31 07:51:00,2018-01-26 03:53:00,0,0,Выполнено.,0,2018-01-26 07:14,2018-01-26 07:26:00,3,0,22,22,3.55,123.96666666666668,0,510,365,0.0
"Заявка № ***********, *******************",АРМ,0,1,25,2018-01-28 03:51:00,2018-01-26 03:55:00,0,0,Работы по обращению выполнены,0,2018-01-28 00:23,2018-02-04 07:53:00,0,0,0,23,219.96666666666667,47.93333333333333,0,458,1167,0.0
"Заявка № ***********, *******************",Сервис25,0,1,26,2018-01-28 03:51:00,2018-01-26 03:55:00,0,0,Работы по обращению выполнены,0,2018-01-26 06:14,2018-02-02 07:52:00,0,0,25,24,171.95,47.93333333333333,0,458,1167,0.0
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,0,1,8,2018-01-28 10:02:00,2018-01-26 04:02:00,0,0,Работы по обращению выполнены,0,2018-01-26 06:20,2018-01-26 06:25:00,0,0,11,11,2.3833333333333333,54.0,0,374,1167,0.0
Система24. Общие вопросы,Сервис43,1,1,27,2018-02-04 15:36:00,2018-01-26 04:06:00,0,0,Пользователь проинформирован о внесённом сопровождении по электронной почте,0,2018-01-31 11:13,2018-02-07 12:31:00,1,1,125,25,296.4166666666667,227.5,1,1044,1028,0.0
Разблокировка УЗ Система7 REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 04:07:00,0,0,выполнена разблокировка УЗ Система7 N)_BOSS\****************. Причина блокировки пользователю не известна.,0,2018-01-26 04:07,2018-01-26 04:18:00,1,1,7,26,0.1833333333333333,123.73333333333332,1,835,1438,0.0
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,28,2018-01-31 07:51:00,2018-01-26 04:09:00,0,0,Доступ предоставлен согласно заявке,0,2018-01-28 06:48,2018-01-28 06:51:00,0,0,2,27,50.7,123.7,0,495,642,0.0
разблокировка УЗ REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 04:14:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 04:14,2018-02-02 07:52:00,1,1,7,28,171.63333333333333,123.61666666666666,1,1237,12,0.0
разблокировка УЗ REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 04:20:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 04:20,2018-02-02 07:52:00,1,1,7,8,171.53333333333333,123.51666666666668,1,1237,12,0.0
Обнаружено нарушение целостности при обработке задания СЗИ SN,Сервис287,0,1,29,2018-01-31 07:51:00,2018-01-26 04:22:00,0,0,Выполнен пересчет задания КЦ.,0,2018-01-27 02:36,2018-02-03 07:52:00,0,0,2,29,195.5,123.48333333333332,0,562,162,0.0
Изменение состава группы,Сервис7,1,1,8,2018-01-31 07:51:00,2018-01-26 04:22:00,0,0,"""В соответствии с п.********   Регламента  взаимодействия и   с письмом********** (см. вложение) с **.**.**** управление группами безопасности Система7 (создание, изменение,
удаление, управление составом групп), относящимися к региональным ИТ-системам, а также группами безопасности Система7, связанными с предоставлением доступа к файловым ресурсам, ресурсам печати находится в
зоне ответственности администраторов информационной безопасности данных ИТ-систем и ИТ-специалистов территориального учреждения, отвечающих за управление данными ресурсами""

В случае если у специалистов ОТС отсутствуют необходимые права на объекты Система7, необходимо  инициировать запрос на делегирование прав, в соответствии с п. *********",0,2018-01-26 14:07,2018-01-28 00:58:00,1,0,7,2,44.6,123.48333333333332,0,472,24,0.0
"Заявка № ***********, *******************",Сервис7,1,1,30,2018-01-31 07:51:00,2018-01-26 04:24:00,0,0,Доступ прекращен.,0,2018-01-31 05:16,2018-02-07 07:56:00,1,0,7,2,291.53333333333336,123.45,0,458,664,0.0
"Заявка № ***********, *******************",Сервис58,1,1,31,2018-01-31 07:51:00,2018-01-26 04:24:00,0,0,Подготовлено. Предоставление прав будет выполнено после получения пользователем ключевой информации,0,2018-01-28 07:04,2018-02-04 08:19:00,1,0,58,30,219.91666666666663,123.45,0,458,1020,0.0
"Заявка № ***********, *******************",Сервис21,1,1,31,2018-01-31 07:51:00,2018-01-26 04:24:00,0,0,Выполнено.,0,2018-01-29 01:47,2018-02-07 07:56:00,1,0,21,30,291.53333333333336,123.45,0,458,365,0.0
"Заявка № ***********, *******************",Сервис58,1,1,31,2018-01-28 04:21:00,2018-01-26 04:24:00,0,0,Работы по обращению выполнены,0,2018-01-27 04:14,2018-02-03 07:52:00,1,0,58,30,195.46666666666667,47.95,0,458,1167,0.0
"Заявка № ***********, *******************",АРМ,0,1,2,2018-02-03 05:36:00,2018-01-26 04:24:00,0,0,Работы по обращению выполнены,0,2018-02-01 03:59,2018-02-08 07:55:00,0,0,0,2,315.51666666666665,193.2,0,458,1167,0.0
"Заявка № ***********, *******************",Сервис21,1,1,31,2018-01-28 04:21:00,2018-01-26 04:24:00,0,0,Работы по обращению выполнены,0,2018-01-27 03:56,2018-02-03 07:52:00,1,0,21,30,195.46666666666667,47.95,0,458,1167,0.0
Разблокировка учётной записи,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 04:29:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 04:36,2018-02-02 07:52:00,1,1,7,31,171.38333333333333,123.36666666666666,1,858,12,0.0
"засор раковины,  мужской сан/узел",Сервис64,0,1,32,2018-01-31 07:51:00,2018-01-26 04:44:00,0,0,Выполнена прочистка раковины специалистами *****************,0,2018-01-27 10:48,2018-02-03 12:08:00,0,0,64,32,199.4,123.11666666666666,0,1188,275,0.0
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,33,2018-01-31 07:51:00,2018-01-26 04:46:00,0,0,Пользователю предоставлен доступ согласно заявки Система500,0,2018-01-28 08:28,2018-02-04 09:46:00,0,0,2,32,221.0,123.08333333333331,0,495,1077,0.0
"Заявка № ***********, *******************",АРМ,0,1,2,2018-02-15 08:36:00,2018-01-26 04:51:00,0,0,Работы по обращению выполнены,0,2018-02-03 09:41,2018-02-10 10:58:00,0,0,0,8,366.1166666666667,483.75,0,458,1167,0.0
Включение учётной записи,Сервис7,1,1,8,2018-01-31 07:51:00,2018-01-26 04:51:00,0,0,Включение УЗ ********** выполнено.,0,2018-01-26 06:14,2018-02-02 07:52:00,1,0,7,33,171.01666666666668,123.0,0,290,113,0.0
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис11,0,1,8,2018-02-10 08:24:00,2018-01-26 04:52:00,0,0,Работы по обращению выполнены,0,2018-01-28 06:09,2018-02-04 07:53:00,0,0,11,33,219.01666666666668,363.53333333333336,0,374,1167,0.0
"Заявка № ***********, *******************",Сервис158,0,1,30,2018-01-31 07:51:00,2018-01-26 04:58:00,0,0,Доступ предоставлен,0,2018-01-26 05:33,2018-02-02 07:52:00,0,0,164,8,170.9,122.88333333333334,0,458,626,0.0
Система26,Сервис26,1,1,34,2018-01-31 07:51:00,2018-01-26 04:59:00,0,0,Добрый день. РК удалена.,0,2018-01-26 12:12,2018-01-26 13:43:00,1,1,26,34,8.733333333333333,122.86666666666666,1,1045,511,0.0
Изменение состава группы,Сервис7,1,1,8,2018-01-31 07:51:00,2018-01-26 04:59:00,0,0,"""В соответствии с п.********   Регламента  взаимодействия и   с письмом********** (см. вложение) с **.**.**** управление группами безопасности Система7 (создание, изменение,
удаление, управление составом групп), относящимися к региональным ИТ-системам, а также группами безопасности Система7, связанными с предоставлением доступа к файловым ресурсам, ресурсам печати находится в
зоне ответственности администраторов информационной безопасности данных ИТ-систем и ИТ-специалистов территориального учреждения, отвечающих за управление данными ресурсами""

В случае если у специалистов ОТС отсутствуют необходимые права на объекты Система7, необходимо  инициировать запрос на делегирование прав, в соответствии с п. *********",0,2018-01-26 13:52,2018-02-02 15:11:00,1,0,7,9,178.2,122.86666666666666,0,472,24,0.0
перемещение груза,Сервис73,0,1,35,2018-01-31 07:51:00,2018-01-26 05:00:00,0,0,Груз переместили.,0,2018-01-28 07:14,2018-02-04 08:34:00,0,0,71,32,219.56666666666663,122.85,0,1210,422,0.0
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис41,0,1,8,2018-01-31 06:17:00,2018-01-26 05:02:00,0,0,Работы по обращению выполнены,0,2018-01-26 07:49,2018-02-02 09:06:00,0,0,43,1,172.06666666666666,121.25,0,374,1167,0.0
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-01-31 07:51:00,2018-01-26 05:04:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-26 05:51,2018-01-26 11:21:00,2,0,18,35,6.283333333333333,122.78333333333332,0,514,466,0.0
разблокировка УЗ REGION\*****,Сервис7,1,1,0,2018-01-31 07:51:00,2018-01-26 05:04:00,0,0," Выполнена разблокировка УЗ Ne_boSS\ ********       Пользователь идентифицирован, причина блокировки пользователю не ясна",0,2018-01-26 05:04,2018-02-02 07:52:00,1,1,7,21,170.8,122.78333333333332,1,1237,12,0.0
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,0,1,8,2018-01-31 07:51:00,2018-01-26 05:05:00,0,0,Работы по обращению выполнены,0,2018-01-26 08:39,2018-02-02 09:56:00,3,0,101,1,172.85,122.76666666666668,0,374,1167,0.0
Изменение состава группы,Сервис7,1,1,8,2018-01-31 07:51:00,2018-01-26 05:11:00,0,0,Объект ЕСК  NE_BOSS\**************** исключен из группы *********** домена ne_Boss,0,2018-01-26 14:16,2018-01-28 06:49:00,1,0,7,36,49.63333333333333,122.66666666666669,0,472,903,0.0
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-01-31 07:51:00,2018-01-26 05:13:00,0,0,"Добрый день. Контрагент добавлен в справочник Поставщики (подрядчики, исполнители).
При наличии дополнительных вопросов, просьба перезвонить по тел ********",0,2018-01-26 06:02,2018-02-02 07:52:00,2,0,18,1,170.65,122.63333333333334,0,514,495,0.0
Замена/добавление Сертификат на сервере Система13,Сервис13,1,1,8,2018-01-31 07:51:00,2018-01-26 05:15:00,0,0,Сертификат-файл зарегистрирован,0,2018-01-26 16:20,2018-01-27 03:42:00,1,0,13,37,22.45,122.6,0,330,1231,0.0
Заявка на предоставление и отзыв прав доступа к ресурсам,Сервис22,0,1,8,2018-01-28 05:21:00,2018-01-26 05:21:00,0,0,Работы по обращению выполнены,0,2018-01-26 15:20,2018-01-26 15:21:00,3,0,101,38,10.0,48.0,0,374,1167,0.0
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,33,2018-01-31 07:51:00,2018-01-26 05:21:00,0,0,Пользователю предоставлен доступ согласно заявки Система500,0,2018-01-26 11:33,2018-02-02 12:54:00,0,0,2,32,175.55,122.5,0,495,1077,0.0
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-01-31 07:51:00,2018-01-26 05:28:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-26 06:20,2018-02-02 07:52:00,2,1,18,24,170.4,122.38333333333334,2,514,466,0.0
Контроль ПУ. Заявка на доступ к портам.,Сервис2,0,1,12,2018-01-31 07:51:00,2018-01-26 05:37:00,0,0,Доступ предоставлен согласно заявке,0,2018-01-31 06:55,2018-02-07 08:43:00,0,0,2,7,291.1,122.23333333333332,0,495,642,0.0
Настройка/Консультация /Техническое обслуживание,Сервис18,0,1,15,2018-01-31 07:51:00,2018-01-26 05:40:00,0,0,"Добрый день!
В текущем релизе Система18 реализована функция создания новой редакции текущего договора/ДС для дальнейшего внесения исправлений.
В режиме ""Сведения договора"" - ""Редакции/Версии договора"" для Вашего договора создана новая редакция в статусе Проект, в которую возможно внести все необходимые изменения.
Вход и редактирование осуществляется по нажатию значка ""Карандаш"".
Далее, необходимо заполнить поле ""Основание внесения исправлений"", указав там причину внесения изменений и затем уже вносить требуемые изменения.
Переход между пунктами осуществляется аналогично, как и при первичной регистрации договора/ДС, посредством нажатия кнопки ""Далее"".
После заполнения необходимо, также зарегистрировать договор/ДС и осуществить отправку в Сервис22. Реестровый номер не изменится.

При наличии дополнительных вопросов, просьба перезвонить по тел. **********",0,2018-01-26 06:21,2018-01-26 08:26:00,2,1,18,39,2.7666666666666666,122.18333333333334,2,514,466,0.0
Необходимо предоставить доступ учетной записи пользователя к сетевому ресурсу.,АРМ,0,1,21,2018-01-31 07:51:00,2018-01-26 05:42:00,0,0,Доступ предоставлен,0,2018-01-26 09:22,2018-02-02 10:38:00,0,0,0,7,172.93333333333334,122.15,0,547,626,0.0
